City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
94,harstad,68.799,16.5293,67.39,85,45,4.0,NO
95,bafoulabe,13.8065,-10.8321,89.56,56,40,6.2,ML
96,marinette,45.1,-87.6307,72.05,88,0,4.61,US
97,constantia,44.1833,28.65,97.7,52,18,26.26,RO
98,chhutmalpur,30.0314,77.7525,81.72,80,100,4.72,IN
99,hammerfest,70.6634,23.6821,63.05,63,40,12.66,NO
100,vila franca do campo,37.7167,-25.4333,72.01,63,2,2.98,PT
101,nar'yan-mar,67.6713,53.087,73.69,54,80,3.22,RU
102,usinsk,65.9939,57.5281,67.17,70,100,12.88,RU
103,georgetown,5.4112,100.3354,85.98,77,20,3.44,MY
104,narra,9.3167,118.4,80.11,86,100,6.08,PH
105,punta de bombon,-17.1717,-71.7931,62.38,83,87,2.44,PE
106,berdigestyakh,62.0989,126.6992,61.99,55,71,4.97,RU
107,katsuren-haebaru,26.3369,127.8719,84.58,83,75,6.91,JP
108,ust-nera,64.5667,143.2,58.53,76,99,6.51,RU
109,kumeny,58.1089,49.9161,74.79,47,45,6.13,RU
110,porbandar,21.6422,69.6093,83.62,82,71,18.05,IN
111,lihue,21.9789,-159.3672,78.39,87,100,16.11,US
112,gadzhiyevo,69.2551,33.3362,52.18,87,100,7.87,RU
113,shimoda,34.6667,138.95,79.11,85,46,4.43,JP
114,kalix,65.853,23.1565,60.84,84,100,1.7,SE
115,theniet el had,35.8711,2.0281,86.7,12,1,6.8,DZ
116,puerto colombia,10.9878,-74.9547,78.89,85,99,5.82,CO
117,greenville,35.6127,-77.3663,78.82,97,0,8.05,US
118,geraldton,-28.7667,114.6,55.81,71,100,10.36,AU
119,micheweni,-4.9667,39.8333,80.56,66,25,16.26,TZ
120,vorkuta,67.5,64.0,61.09,85,100,9.4,RU
121,la sarre,48.8002,-79.1996,61.7,71,6,8.34,CA
122,utrik,11.2278,169.8474,82.94,81,97,19.01,MH
123,murzuq,25.9155,13.9184,107.6,5,0,18.07,LY
124,smithers,54.7804,-127.1743,55.72,82,100,2.3,CA
125,zhangjiakou shi xuanhua qu,40.6103,115.0447,79.75,65,92,3.69,CN
126,san pedro pochutla,15.7333,-96.4667,75.7,86,55,4.81,MX
127,bilibino,68.0546,166.4372,47.46,91,100,2.73,RU
128,afaahiti,-17.75,-149.2833,73.27,90,44,10.56,PF
129,beira,-19.8436,34.8389,75.29,94,75,12.66,MZ
130,dudinka,69.4058,86.1778,76.62,47,2,8.66,RU
131,guerrero negro,27.9769,-114.0611,66.27,89,38,4.59,MX
132,remire-montjoly,4.9167,-52.2667,82.44,78,0,3.44,GF
133,baiti,13.745,-14.7482,89.47,59,81,7.07,SN
134,aasiaat,68.7098,-52.8699,35.53,93,86,8.79,GL
135,mitu,1.1983,-70.1733,71.98,93,44,1.03,CO
